Date,Price,Open,High,Low,Change %
"Oct 16, 2013",12.3691,12.4056,12.4443,12.323,-0.29%
"Oct 17, 2013",12.5343,12.3663,12.5401,12.3589,1.34%
"Oct 18, 2013",12.5362,12.5336,12.5821,12.5145,0.02%
"Oct 21, 2013",12.5181,12.5322,12.5464,12.5062,-0.14%
"Oct 22, 2013",12.5867,12.5167,12.5971,12.4925,0.55%
"Oct 23, 2013",12.5326,12.5852,12.6044,12.4967,-0.43%
"Oct 24, 2013",12.5632,12.5306,12.5792,12.5096,0.24%
"Oct 25, 2013",12.5348,12.5616,12.5971,12.5205,-0.23%
"Oct 28, 2013",12.5156,12.5355,12.5684,12.4989,-0.15%
"Oct 29, 2013",12.4421,12.5144,12.5183,12.4225,-0.59%
"Oct 30, 2013",12.4357,12.4402,12.4686,12.4033,-0.05%
"Oct 31, 2013",12.4378,12.4354,12.4602,12.4081,0.02%
"Nov 01, 2013",12.3463,12.435,12.4429,12.3314,-0.74%
"Nov 04, 2013",12.378,12.3438,12.3876,12.3274,0.26%
"Nov 05, 2013",12.4382,12.377,12.4512,12.3605,0.49%
"Nov 06, 2013",12.4657,12.4359,12.4954,12.4328,0.22%
"Nov 07, 2013",12.4779,12.4629,12.4914,12.4081,0.10%
"Nov 08, 2013",12.4162,12.4767,12.4853,12.3672,-0.49%
"Nov 11, 2013",12.3961,12.4142,12.4218,12.376,-0.16%
"Nov 12, 2013",12.3311,12.3949,12.3982,12.2894,-0.52%
"Nov 13, 2013",12.4501,12.3293,12.4579,12.3087,0.97%
"Nov 14, 2013",12.4562,12.4474,12.4847,12.3939,0.05%
"Nov 15, 2013",12.5005,12.4544,12.5111,12.4419,0.36%
"Nov 18, 2013",12.4889,12.4983,12.5209,12.4646,-0.09%
"Nov 19, 2013",12.4963,12.4871,12.5059,12.4472,0.06%
"Nov 20, 2013",12.4841,12.4937,12.5418,12.4692,-0.10%
"Nov 21, 2013",12.5595,12.4829,12.5604,12.4568,0.60%
"Nov 22, 2013",12.5801,12.5572,12.5825,12.5389,0.16%
"Nov 25, 2013",12.5252,12.5789,12.5921,12.5057,-0.44%
"Nov 26, 2013",12.5712,12.5228,12.5759,12.5096,0.37%
"Nov 27, 2013",12.628,12.5688,12.6613,12.5537,0.45%
"Nov 28, 2013",12.6696,12.6264,12.6838,12.6172,0.33%
"Nov 29, 2013",12.6894,12.6699,12.7038,12.6463,0.16%
"Dec 02, 2013",12.6799,12.6837,12.7495,12.6669,-0.07%
"Dec 03, 2013",12.7079,12.6774,12.7426,12.6708,0.22%
"Dec 04, 2013",12.7027,12.707,12.7188,12.6577,-0.04%
"Dec 05, 2013",12.6658,12.7003,12.7192,12.6367,-0.29%
"Dec 06, 2013",12.6782,12.6658,12.7132,12.6366,0.10%
"Dec 09, 2013",12.7385,12.6761,12.7416,12.6558,0.48%
"Dec 10, 2013",12.7517,12.7374,12.7661,12.7283,0.10%
"Dec 11, 2013",12.6977,12.7505,12.7627,12.668,-0.42%
"Dec 12, 2013",12.6774,12.6962,12.7319,12.6526,-0.16%
"Dec 13, 2013",12.6377,12.6762,12.6867,12.6059,-0.31%
"Dec 16, 2013",12.6361,12.6365,12.6772,12.6243,-0.01%
"Dec 17, 2013",12.6088,12.6345,12.6673,12.5733,-0.22%
"Dec 18, 2013",12.7074,12.6062,12.7791,12.6046,0.78%
"Dec 19, 2013",12.696,12.7066,12.711,12.6625,-0.09%
"Dec 20, 2013",12.6673,12.6914,12.7157,12.65,-0.23%
"Dec 23, 2013",12.6821,12.6646,12.6985,12.6562,0.12%
"Dec 24, 2013",12.6987,12.6793,12.705,12.6549,0.13%
"Dec 25, 2013",12.6795,12.6963,12.6995,12.6362,-0.15%
"Dec 26, 2013",12.7276,12.6766,12.7492,12.6746,0.38%
"Dec 27, 2013",12.7806,12.7261,12.8566,12.72,0.42%
"Dec 30, 2013",12.7969,12.7686,12.822,12.762,0.13%
"Dec 31, 2013",12.839,12.7951,12.8573,12.7717,0.33%
"Jan 01, 2014",12.8449,12.8364,12.8558,12.8122,0.05%
"Jan 02, 2014",12.7582,12.8413,12.8767,12.7249,-0.67%
"Jan 03, 2014",12.7294,12.7556,12.7773,12.7126,-0.23%
