time,open,high,low,close,Volume,Volume MA
1496842200,243.6,243.92,242.83,243.66,54144311,69051916
1496928600,243.77,244.33,243.17,243.78,65950691,69634760.6
1497015000,244.09,245.01,241.95,243.41,132256362,73129661.4
1497274200,243.13,243.42,242.38,243.36,86108102,74739430
1497360600,243.98,244.61,243.5799,244.55,60066953,74646830.8
1497447000,244.86,244.87,243.29,244.24,78602311,76014856.8
1497533400,242.68,243.91,242.36,243.77,66464888,70729395.85
1497619800,242.77,242.83,241.6337,242.64,84553097,69604667.9
1497879000,243.59,244.73,243.48,244.66,65123802,67110289.35
1497965400,244.25,244.26,242.99,243.01,56906368,66905077.65
1498051800,243.42,243.59,242.41,242.95,55977569,67286871.95
1498138200,242.96,243.53,242.64,242.84,44148059,67035219.95
1498224600,242.91,243.51,242.47,243.13,66986801,67180976.95
1498483800,243.9,244.38,243.045,243.29,56700477,67684505.55
1498570200,243.04,243.38,241.31,241.33,82247666,70036794
1498656600,242.5,243.715,242.23,243.49,70042599,68949123.15
1498743000,243.66,243.72,239.955,241.35,106949719,70848507.9
1498829400,242.28,242.71,241.575,241.8,86820694,70756236.2
1499088600,242.88,243.38,242.21,242.21,39153806,70478985.25
1499261400,242.63,243.01,241.7,242.77,54427596,70681593.55
1499347800,241.89,242.03,240.34,240.55,66115317,71280143.85
1499434200,241.21,242.28,240.5645,242.11,57972268,70881222.7
1499693400,241.95,242.8,241.76,242.37,36663274,66101568.3
1499779800,242.16,242.55,240.85,242.19,50354614,64313893.9
1499866200,243.3,244.2,243.3,244.01,59610405,64291066.5
1499952600,244.02,244.55,243.76,244.42,39471637,62334532.8
1500039000,244.43,245.97,244.31,245.56,60262692,62024423
1500298200,245.47,245.91,245.33,245.53,33531917,59473364
1500384600,245.06,245.72,244.67,245.66,42742498,58354298.8
1500471000,246.02,247,246.01,246.99,51034260,58060693.4
1500557400,247.28,247.42,246.47,247.1,47135183,57618574.1
1500643800,246.44,246.91,246.18,246.88,88711019,59846722.1
1500903000,246.79,246.98,246.28,246.82,46622256,58828494.85
1500989400,247.68,247.8,247.16,247.42,54915591,58739250.55
1501075800,247.75,247.79,247.13,247.43,47575422,57005638.35
1501162200,247.96,248,245.68,247.2,70766568,57041836.8
1501248600,246.65,247.06,246.13,246.91,50088359,54198768.8
1501507800,247.37,247.48,246.53,246.77,65838659,53149667.05
1501594200,247.46,247.5,246.716,247.32,55050401,53944496.8
1501680600,247.47,247.6,246.37,247.44,47211216,53583677.8
1501767000,247.31,247.34,246.64,246.96,40855997,52320711.8
1501853400,247.52,247.79,246.97,247.41,60191838,52431690.3
1502112600,247.49,247.87,247.37,247.87,31995021,52198277.65
1502199000,247.51,248.91,246.83,247.26,61719353,52766514.6
1502285400,246.47,247.31,246.06,247.25,62632619,52917625.3
1502371800,246.29,246.44,243.7,243.76,120479470,56968016.95
1502458200,244.02,244.8,243.75,244.12,74869947,57698379.7
1502717400,245.59,246.79,245.55,246.54,73291919,59686379.8
1502803800,246.98,247,246.16,246.51,55242746,60311392.2
1502890200,247.11,247.57,246.45,246.94,56715544,60595456.4
1502976600,246.24,246.6,243.09,243.09,128490396,64663217.05
1503063000,242.9,244.189,242.2,242.71,136747986,67065065.4
1503322200,242.64,243.2,241.83,242.9,65469736,68007439.4
1503408600,243.57,245.62,243.55,245.44,63140101,68418664.9
1503495000,244.33,245.05,244.16,244.56,50203837,68550085.65
1503581400,245,245.18,243.75,243.99,50741671,67548840.8
1503667800,244.9,245.61,244.39,244.56,64445912,68266718.45
1503927000,245.17,245.2,244.09,244.57,40565606,67003065.8
1504013400,243.06,245.15,242.93,244.85,51135715,66807331.5
1504099800,244.83,246.32,244.62,246.01,62030805,67548310.95
1504186200,246.72,247.77,246.0473,247.49,103803880,70695705.1
1504272600,247.92,248.33,247.67,247.84,62006989,70786462.65
1504618200,247.26,247.52,244.95,246.06,91398777,73756650.45
1504704600,246.84,247.28,246.23,246.9,57916867,73566526.15
1504791000,247.25,247.27,246.4,246.87,58034730,73336631.7
1504877400,246.54,247.11,246.3,246.58,63832825,70504299.45
1505136600,248.04,249.3,248.02,249.21,71364848,70329044.5
1505223000,249.63,250.09,249.42,250.05,56896027,69509249.9
1505309400,249.72,250.21,249.59,250.17,59228002,69708512.7
1505395800,249.8,250.32,249.6,250.09,95446349,71645052.95
1505482200,248.69,249.29,248.57,249.19,95432382,69992152.25
1505741400,249.61,250.12,249.28,249.72,46235238,65466514.85
1505827800,250,250.07,249.6,249.97,47108148,64548435.45
1505914200,250.07,250.19,248.92,250.06,59574083,64370134.55
1506000600,249.88,249.98,249.185,249.39,48211398,64270512.6
1506087000,249.05,249.63,249.02,249.44,51214032,64294130.65
1506346200,249.15,249.5532,248.08,248.93,57064357,63925052.9
1506432600,249.42,249.7,248.805,249.08,54081959,64600870.55
1506519000,249.88,250.49,248.87,250.05,81001426,66094156.1
1506605400,249.73,250.44,249.63,250.35,44778841,65231557.9
1506691800,250.34,251.32,250.13,251.23,85578002,64320264
1506951000,251.49,252.32,251.2926,252.32,59022985,64171063.8
1507037400,252.46,252.89,252.23,252.86,66810169,62941633.4
1507123800,252.69,253.44,252.56,253.16,55953619,62843471
1507210200,253.54,254.68,253.196,254.66,63522757,63117872.35
1507296600,254.15,254.7008,253.85,254.37,80645998,63958531
1507555800,254.63,254.7,253.65,253.95,35803138,62180445.5
1507642200,254.6,255.05,253.98,254.62,43057363,61488512.3
1507728600,254.51,255.02,254.32,255.02,47674325,60910828.45
1507815000,254.66,255.06,254.365,254.64,47080269,58492524.45
1507901400,255.14,255.27,254.64,254.95,54800435,56460927.1
1508160600,255.21,255.51,254.82,255.29,38521675,56075248.95
1508247000,255.23,255.52,254.98,255.47,31560964,55297889.75
1508333400,255.9,255.95,255.5,255.72,40888330,54363602.1
1508419800,254.83,255.83,254.35,255.79,61903788,55048221.6
1508506200,256.7,257.14,255.7744,257.11,89176377,56946338.85
1508765400,257.48,257.51,256.02,256.11,63915306,57288886.3
1508851800,256.6,256.83,256.15,256.56,66935910,57931583.85
1508938200,256.18,256.31,254,255.29,103715291,59067277.1
1509024600,255.99,256.3,255.48,255.62,69797972,60318233.65
1509111000,256.47,257.89,255.6254,257.71,85562544,60317460.75
1509370200,257.07,257.6,256.41,256.75,54285687,60080595.85
1509456600,257.18,257.44,256.805,257.15,60304781,59755326.45
1509543000,258.04,258.43,257.07,257.49,54202736,59667782.3
1509629400,257.41,257.75,256.19,257.59,56449535,59314121.2
1509715800,257.77,258.5,257.3,258.45,59589730,58261307.8
1509978600,258.3,259,258.22,258.85,49652598,58953780.8
1510065000,258.97,259.35,258.09,258.67,57502161,59676020.7
1510151400,258.47,259.22,258.15,259.11,50469579,59815783.4
1510237800,257.73,258.39,256.36,258.17,95085497,62216044.8
1510324200,257.73,258.2926,257.37,258.09,59984662,62475256.15
1510583400,257.31,258.59,257.27,258.33,50228648,63060604.8
1510669800,257.41,257.85,256.52,257.73,61315152,64548314.2
1510756200,256.62,257.22,255.63,256.44,80811525,66544473.95
1510842600,257.52,259.04,257.4748,258.62,67777027,66838135.9
1510929000,258.22,258.5882,257.77,257.86,75756833,66167158.7
1511188200,258.14,258.525,257.86,258.3,48075514,65375169.1
1511274600,259.18,260.2,259.18,259.99,69176799,65487213.55
1511361000,260,260.15,259.57,259.76,45033392,62553118.6
1511533800,260.32,260.48,260.16,260.36,27746365,60450538.25
1511793000,260.41,260.75,260,260.23,52274922,58786157.15
1511879400,260.76,262.9,260.655,262.87,98971719,61020458.75
1511965800,263.02,263.63,262.2,262.71,77512102,61880824.8
1512052200,263.76,266.05,263.67,265.01,127894389,65565407.45
1512138600,264.76,265.31,260.76,264.46,164390902,70962475.8
1512397800,266.31,266.8,264.08,264.14,94040560,72685017.3
1512484200,264.43,265.15,263.04,263.19,77994544,74102114.6
1512570600,262.87,263.73,262.71,263.24,75898566,75021934.85
1512657000,263.09,264.43,262.94,264.07,77218569,76359384.35
1512743400,264.99,265.52,264.72,265.51,76563873,75433303.15
1513002600,265.58,266.38,265.4793,266.31,83077533,76587946.7
1513089000,266.57,267.32,266.345,266.78,85195750,78336301.8
1513175400,267.06,267.56,266.65,266.75,102905409,80415814.65
1513261800,267.09,267.22,265.6,265.66,100666692,81408573
1513348200,265.45,267.04,265.39,266.51,144610290,85250236.15
1513607400,268.1,268.6,267.98,268.2,83676072,85646198.1
1513693800,268.48,268.53,267.09,267.17,82382876,87361566.2
1513780200,268.27,268.33,266.69,267.03,76751500,87740301.25
1513866600,267.74,268.385,267.3,267.58,67032339,88840248.6
1513953000,267.6,267.635,266.9,267.51,78720873,91388974
1514298600,267.05,267.4377,266.885,267.19,45244433,91037449.55
1514385000,267.38,267.73,267.01,267.32,57750986,88976412.9
1514471400,267.89,267.92,267.45,267.87,45116139,87356614.75
1514557800,268.53,268.55,266.64,266.86,96007424,85762266.5
1514903400,267.84,268.81,267.4,268.77,86655749,81875508.85
1514989800,268.96,270.64,268.96,270.47,90070416,81677001.65
1515076200,271.2,272.16,270.5447,271.61,80636408,81809094.85
1515162600,272.51,273.56,271.95,273.42,83523995,82190366.3
1515421800,273.31,274.1,272.98,273.92,57319192,81195397.45
1515508200,274.4,275.25,274.081,274.54,57253957,80229901.65
1515594600,273.68,274.42,272.92,274.12,69574318,79554740.9
1515681000,274.75,276.12,274.56,276.12,62361455,78413026.15
1515767400,276.42,278.11,276.0819,277.92,90816076,77808559.5
1516113000,279.35,280.09,276.18,276.97,106555142,78102982
1516199400,278.03,280.05,276.97,279.61,113258799,76535407.45
1516285800,279.48,279.96,278.58,279.14,100728006,77388004.15
1516372200,279.8,280.41,279.14,280.41,140920098,80314865.25
1516631400,280.17,282.69,280.11,282.69,91322408,81043410.65
1516717800,282.74,283.62,282.37,283.29,97084700,82546028.7
1516804200,284.02,284.7,281.84,283.18,134816117,85350790.9
1516890600,284.16,284.27,282.405,283.3,84587313,87317934.9
1516977000,284.25,286.6285,283.96,286.58,107743119,89817541.55
1517236200,285.93,286.43,284.5,284.68,90118337,92067651.45
